type,buy,sell,update
PNJ,75.000,73.200,06/05/2024 09:15:07
PNJ,75.000,73.200,06/05/2024 09:38:40
PNJ,75.000,73.200,06/05/2024 13:20:49
PNJ,75.150,73.350,06/05/2024 14:46:58
SJC,85.900,83.500,06/05/2024 08:11:17
SJC,86.000,83.800,06/05/2024 09:15:07
SJC,86.200,84.000,06/05/2024 09:38:40
SJC,85.900,83.700,06/05/2024 13:20:49
SJC,86.500,84.300,06/05/2024 14:46:58
PNJ,74.950,73.100,04/05/2024 08:09:11
PNJ,74.950,73.100,04/05/2024 09:40:42
SJC,85.800,83.500,04/05/2024 08:09:11
SJC,85.900,83.500,04/05/2024 09:40:42
PNJ,75.000,73.200,03/05/2024 08:07:30
PNJ,74.950,73.100,03/05/2024 08:51:27
PNJ,74.950,73.100,03/05/2024 13:06:41
SJC,84.900,82.800,03/05/2024 08:07:30
SJC,85.200,82.900,03/05/2024 08:51:27
SJC,85.800,83.500,03/05/2024 13:06:41
PNJ,75.200,73.400,02/05/2024 08:04:34
PNJ,75.200,73.400,02/05/2024 14:05:48
SJC,84.800,82.600,02/05/2024 08:04:34
SJC,85.100,82.900,02/05/2024 14:05:48
PNJ,75.600,73.800,27/04/2024 08:11:08
SJC,85.200,83.000,27/04/2024 08:11:08
PNJ,74.950,73.200,26/04/2024 08:13:27
PNJ,75.100,73.300,26/04/2024 10:08:13
PNJ,75.250,73.450,26/04/2024 13:25:09
PNJ,75.600,73.800,26/04/2024 17:56:15
SJC,84.300,82.300,26/04/2024 08:13:27
SJC,84.800,82.600,26/04/2024 10:08:13
SJC,85.000,82.800,26/04/2024 13:25:09
SJC,85.200,83.000,26/04/2024 17:56:15
PNJ,74.800,73.000,25/04/2024 08:00:19
SJC,84.300,82.300,25/04/2024 08:00:19
PNJ,74.800,73.000,24/04/2024 08:06:12
PNJ,74.800,73.000,24/04/2024 09:55:06
PNJ,74.800,73.000,24/04/2024 10:27:14
PNJ,74.800,73.000,24/04/2024 11:29:53
SJC,83.100,81.000,24/04/2024 08:06:12
SJC,83.500,81.500,24/04/2024 09:55:06
SJC,84.000,81.900,24/04/2024 10:27:14
SJC,84.300,82.300,24/04/2024 11:29:53
PNJ,74.200,73.500,23/04/2024 06:24:19
PNJ,74.200,73.500,23/04/2024 07:50:38
PNJ,74.800,73.000,23/04/2024 09:15:26
PNJ,74.800,73.000,23/04/2024 09:28:27
PNJ,74.800,73.000,23/04/2024 09:49:09
SJC,82.900,80.700,23/04/2024 06:24:19
SJC,82.900,80.700,23/04/2024 07:50:38
SJC,82.300,87.900,23/04/2024 09:15:26
SJC,82.300,78.900,23/04/2024 09:28:27
SJC,82.300,79.800,23/04/2024 09:49:09
PNJ,76.800,74.800,22/04/2024 08:27:24
PNJ,76.400,74.400,22/04/2024 08:57:10
PNJ,76.300,74.300,22/04/2024 09:43:46
SJC,83.800,81.800,22/04/2024 08:27:24
SJC,82.800,80.300,22/04/2024 08:57:10
SJC,83.200,80.700,22/04/2024 09:43:46
PNJ,76.800,74.800,20/04/2024 08:17:04
SJC,83.800,81.800,20/04/2024 08:17:04
PNJ,76.800,74.800,19/04/2024 08:12:26
PNJ,77.100,75.100,19/04/2024 08:43:30
PNJ,76.800,74.800,19/04/2024 10:38:26
SJC,84.100,82.100,19/04/2024 08:12:26
SJC,83.900,81.900,19/04/2024 08:43:30
SJC,83.800,81.800,19/04/2024 10:38:26
PNJ,76.800,74.800,17/04/2024 08:09:52
PNJ,76.800,74.800,17/04/2024 09:15:45
PNJ,76.800,74.800,17/04/2024 10:55:01
SJC,83.700,81.700,17/04/2024 08:09:52
SJC,83.800,81.800,17/04/2024 09:15:45
SJC,84.100,82.100,17/04/2024 10:55:01
PNJ,76.950,75.000,16/04/2024 08:11:39
PNJ,76.950,75.000,16/04/2024 08:56:42
PNJ,76.950,75.000,16/04/2024 13:08:08
PNJ,76.800,74.800,16/04/2024 14:53:57
SJC,84.100,81.800,16/04/2024 08:11:39
SJC,84.300,82.200,16/04/2024 08:56:42
SJC,83.900,81.900,16/04/2024 13:08:08
SJC,83.700,81.700,16/04/2024 14:53:57
PNJ,76.250,74.300,15/04/2024 08:13:53
PNJ,76.400,74.500,15/04/2024 08:29:52
PNJ,76.600,74.700,15/04/2024 10:20:22
PNJ,76.600,74.700,15/04/2024 11:26:03
PNJ,76.600,74.700,15/04/2024 13:14:31
PNJ,76.600,74.700,15/04/2024 14:09:48
PNJ,76.600,74.700,15/04/2024 14:49:20
PNJ,76.600,74.700,15/04/2024 15:18:02
PNJ,76.600,74.700,15/04/2024 15:34:30
SJC,83.100,80.600,15/04/2024 08:13:53
SJC,83.400,81.200,15/04/2024 08:29:52
SJC,84.600,82.400,15/04/2024 10:20:22
SJC,85.100,82.600,15/04/2024 11:26:03
SJC,85.400,83.100,15/04/2024 13:14:31
SJC,85.200,83.000,15/04/2024 14:09:48
SJC,84.900,82.700,15/04/2024 14:49:20
SJC,84.400,82.200,15/04/2024 15:18:02
SJC,84.100,81.800,15/04/2024 15:34:30
PNJ,76.400,74.600,13/04/2024 07:51:46
PNJ,76.400,74.600,13/04/2024 07:57:40
PNJ,76.250,74.300,13/04/2024 09:33:35
PNJ,76.250,74.300,13/04/2024 10:33:32
SJC,83.500,81.500,13/04/2024 07:51:46
